<USER_REQUEST>
id,question,answer,category,destination,country
321,What food should I try in Bengaluru?,"Try well-reviewed local dishes and regional specialties in Bengaluru. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Bengaluru,India
322,How can I reduce my travel cost in Kochi?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Kochi,India
323,How can I make a 13-day itinerary for Singapore?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Singapore,Singapore
324,What if my budget is too low for London?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,London,UK
325,What is the best transport option in Dubai?,"Compare bus options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Dubai,UAE
326,What is a good family plan for Paris for 11 days?,"For a 11-day family trip to Paris, focus on shopping. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Paris,France
327,What food should I try in Darjeeling?,"Try well-reviewed local dishes and regional specialties in Darjeeling. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Darjeeling,India
328,Is Paris suitable for a business trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Paris,France
329,What should I see in Chennai if I like nature?,"Choose attractions and experiences in Chennai that match nature, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Chennai,India
330,How can I reduce my travel cost in Kolkata?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Kolkata,India
331,What food should I try in Bangkok?,"Try well-reviewed local dishes and regional specialties in Bangkok. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Bangkok,Thailand
332,What food should I try in Delhi?,"Try well-reviewed local dishes and regional specialties in Delhi. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Delhi,India
333,How much should I budget for Vijayawada for 13 days as a budget traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Vijayawada, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Vijayawada,India
334,What should I see in Manali if I like adventure?,"Choose attractions and experiences in Manali that match adventure, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Manali,India
335,What should I see in London if I like nature?,"Choose attractions and experiences in London that match nature, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,London,UK
336,What if my budget is too low for Jaipur?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Jaipur,India
337,How much should I budget for Kochi for 8 days as a luxury traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Kochi, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Kochi,India
338,Is Vijayawada suitable for a friends trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Vijayawada,India
339,How much should I budget for Tokyo for 10 days as a solo traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Tokyo, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Tokyo,Japan
340,How can I make a 8-day itinerary for Varanasi?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Varanasi,India
341,What is a good couple plan for Singapore for 10 days?,"For a 10-day couple trip to Singapore, focus on food. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Singapore,Singapore
342,What should I see in Tokyo if I like food?,"Choose attractions and experiences in Tokyo that match food, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Tokyo,Japan
343,How much should I budget for Chennai for 12 days as a couple traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Chennai, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Chennai,India
344,How can I reduce my travel cost in Agra?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Agra,India
345,What if my budget is too low for Darjeeling?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Darjeeling,India
346,What if my budget is too low for Goa?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Goa,India
347,What if my budget is too low for Visakhapatnam?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Visakhapatnam,India
348,What is a good couple plan for Agra for 11 days?,"For a 11-day couple trip to Agra, focus on family activities. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Agra,India
349,What is the best transport option in Kolkata?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Kolkata,India
350,How much should I budget for London for 13 days as a budget traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For London, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,London,UK
351,What food should I try in Bangkok?,"Try well-reviewed local dishes and regional specialties in Bangkok. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Bangkok,Thailand
352,How should I split a ₹20000 budget for Delhi for 6 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Delhi,India
353,How should I split a ₹7500 budget for Bali for 14 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Bali,Indonesia
354,How much should I budget for Pune for 9 days as a solo traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Pune, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Pune,India
355,How can I reduce my travel cost in Agra?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Agra,India
356,What should I see in Munnar if I like culture?,"Choose attractions and experiences in Munnar that match culture, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Munnar,India
357,What should I see in Tokyo if I like shopping?,"Choose attractions and experiences in Tokyo that match shopping, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Tokyo,Japan
358,What is a good friends plan for Kolkata for 9 days?,"For a 9-day friends trip to Kolkata, focus on photography. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Kolkata,India
359,What if my budget is too low for Vijayawada?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Vijayawada,India
360,What food should I try in Kochi?,"Try well-reviewed local dishes and regional specialties in Kochi. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Kochi,India
361,How can I reduce my travel cost in Bengaluru?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Bengaluru,India
362,Is Bali suitable for a luxury trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Bali,Indonesia
363,How can I reduce my travel cost in Visakhapatnam?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Visakhapatnam,India
364,What if my budget is too low for Vijayawada?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Vijayawada,India
365,How should I split a ₹5000 budget for Dubai for 10 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Dubai,UAE
366,What if my budget is too low for London?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,London,UK
367,What should I see in Pune if I like beaches?,"Choose attractions and experiences in Pune that match beaches, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Pune,India
368,What should I see in Bangkok if I like photography?,"Choose attractions and experiences in Bangkok that match photography, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Bangkok,Thailand
369,What should I see in Darjeeling if I like shopping?,"Choose attractions and experiences in Darjeeling that match shopping, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Darjeeling,India
370,How can I make a 10-day itinerary for Munnar?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Munnar,India
371,What food should I try in Tokyo?,"Try well-reviewed local dishes and regional specialties in Tokyo. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Tokyo,Japan
372,What if my budget is too low for Tokyo?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Tokyo,Japan
373,How can I reduce my travel cost in Bengaluru?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Bengaluru,India
374,What is a good luxury plan for Singapore for 13 days?,"For a 13-day luxury trip to Singapore, focus on family activities. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Singapore,Singapore
375,Is Shimla suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Shimla,India
376,How much should I budget for Goa for 14 days as a budget traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Goa, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Goa,India
377,Is Delhi suitable for a friends trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Delhi,India
378,What is a good friends plan for Bangkok for 4 days?,"For a 4-day friends trip to Bangkok, focus on nightlife. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Bangkok,Thailand
379,What food should I try in Bangkok?,"Try well-reviewed local dishes and regional specialties in Bangkok. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Bangkok,Thailand
380,How should I split a ₹50000 budget for Pune for 7 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Pune,India
381,What is the best transport option in Manali?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Manali,India
382,How can I reduce my travel cost in Jaipur?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Jaipur,India
383,How should I split a ₹20000 budget for Bangkok for 4 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Bangkok,Thailand
384,What if my budget is too low for Manali?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Manali,India
385,What should I see in Dubai if I like culture?,"Choose attractions and experiences in Dubai that match culture, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Dubai,UAE
386,How can I reduce my travel cost in Bengaluru?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Bengaluru,India
387,How can I make a 8-day itinerary for Bali?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Bali,Indonesia
388,What if my budget is too low for Bangkok?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Bangkok,Thailand
389,What is the best transport option in Jaipur?,"Compare metro options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Jaipur,India
390,What should I see in Visakhapatnam if I like shopping?,"Choose attractions and experiences in Visakhapatnam that match shopping, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Visakhapatnam,India
391,What is the best transport option in Hyderabad?,"Compare car options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Hyderabad,India
392,How much should I budget for Paris for 5 days as a family traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Paris, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Paris,France
393,Is Singapore suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Singapore,Singapore
394,What food should I try in New York?,"Try well-reviewed local dishes and regional specialties in New York. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,New York,USA
395,How can I reduce my travel cost in Mumbai?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Mumbai,India
396,How can I make a 10-day itinerary for Shimla?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Shimla,India
397,What is the best transport option in Pune?,"Compare flight options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Pune,India
398,How can I reduce my travel cost in London?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,London,UK
399,What is the best transport option in Bangkok?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bangkok,Thailand
400,How should I split a ₹30000 budget for Mumbai for 10 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Mumbai,India
401,What food should I try in Vijayawada?,"Try well-reviewed local dishes and regional specialties in Vijayawada. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Vijayawada,India
402,What food should I try in Chennai?,"Try well-reviewed local dishes and regional specialties in Chennai. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Chennai,India
403,What if my budget is too low for Paris?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Paris,France
404,How much should I budget for Hyderabad for 5 days as a budget traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Hyderabad, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Hyderabad,India
405,How can I reduce my travel cost in Varanasi?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Varanasi,India
406,What is the best transport option in Bangkok?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bangkok,Thailand
407,What if my budget is too low for Jaipur?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Jaipur,India
408,How can I make a 7-day itinerary for Kochi?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Kochi,India
409,What if my budget is too low for London?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,London,UK
410,How should I split a ₹50000 budget for Rome for 13 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Rome,Italy
411,What is the best transport option in Vijayawada?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Vijayawada,India
412,How can I make a 9-day itinerary for Shimla?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Shimla,India
413,How much should I budget for Varanasi for 2 days as a budget traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Varanasi, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Varanasi,India
414,How can I make a 9-day itinerary for New York?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,New York,USA
415,How can I reduce my travel cost in Ooty?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Ooty,India
416,What is the best transport option in Bali?,"Compare metro options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Bali,Indonesia
417,How much should I budget for Shimla for 2 days as a solo traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Shimla, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Shimla,India
418,Is Manali suitable for a solo trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Manali,India
419,What food should I try in Mumbai?,"Try well-reviewed local dishes and regional specialties in Mumbai. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Mumbai,India
420,How should I split a ₹75000 budget for Rome for 7 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Rome,Italy
421,What is the best transport option in Araku Valley?,"Compare train options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Araku Valley,India
422,How can I make a 1-day itinerary for Tokyo?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Tokyo,Japan
423,How should I split a ₹10000 budget for Ooty for 9 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Ooty,India
424,Is Goa suitable for a couple trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Goa,India
425,How much should I budget for Darjeeling for 13 days as a solo traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Darjeeling, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Darjeeling,India
426,What is a good friends plan for Darjeeling for 1 days?,"For a 1-day friends trip to Darjeeling, focus on family activities. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Darjeeling,India
427,What is a good couple plan for Munnar for 8 days?,"For a 8-day couple trip to Munnar, focus on nightlife. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Munnar,India
428,What if my budget is too low for Goa?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Goa,India
429,What should I see in Darjeeling if I like shopping?,"Choose attractions and experiences in Darjeeling that match shopping, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Darjeeling,India
430,What is a good couple plan for Dubai for 9 days?,"For a 9-day couple trip to Dubai, focus on culture. Allocate time across major attractions, local food, transport, and rest. Keep a daily budget buffer of about 10–15% for unexpected expenses.",travel_planning_budget,Dubai,UAE
431,What food should I try in Manali?,"Try well-reviewed local dishes and regional specialties in Manali. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Manali,India
432,Is Visakhapatnam suitable for a budget trip?,"It can be suitable, but the answer depends on season, mobility, interests, safety conditions, and budget. The app should personalize the itinerary instead of assuming one destination fits every traveler.",travel_planning_budget,Visakhapatnam,India
433,How can I make a 3-day itinerary for Ooty?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Ooty,India
434,What should I see in Kolkata if I like nature?,"Choose attractions and experiences in Kolkata that match nature, group them by nearby areas, and avoid packing too many distant locations into one day. Verify opening hours and ticket prices before travel.",travel_planning_budget,Kolkata,India
435,How can I make a 8-day itinerary for London?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,London,UK
436,How should I split a ₹15000 budget for Pune for 3 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Pune,India
437,What is the best transport option in Singapore?,"Compare taxi options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Singapore,Singapore
438,How much should I budget for Visakhapatnam for 5 days as a friends traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Visakhapatnam, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Visakhapatnam,India
439,What food should I try in Delhi?,"Try well-reviewed local dishes and regional specialties in Delhi. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Delhi,India
440,What is the best transport option in Delhi?,"Compare train options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Delhi,India
441,What if my budget is too low for Bali?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Bali,Indonesia
442,How can I reduce my travel cost in Bangkok?,"Travel in the shoulder or off-season, compare transport and accommodation, use public transit where practical, choose local food, group nearby attractions, and reserve a contingency rather than spending the full budget.",travel_planning_budget,Bangkok,Thailand
443,How should I split a ₹15000 budget for Munnar for 8 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Munnar,India
444,How should I split a ₹50000 budget for Pune for 8 days?,"A useful starting split is about 25–35% accommodation, 20–35% intercity transport, 15–20% food, 10–15% local transport, 5–10% attractions, and 10–15% contingency. Adjust these percentages to the destination and trip style.",travel_planning_budget,Pune,India
445,What if my budget is too low for Sydney?,"Reduce hotel category, use public transport, shorten the trip, travel in a cheaper season, choose free attractions, and compare alternative nearby destinations. Never hide unavoidable costs; show the user which assumptions drive the estimate.",travel_planning_budget,Sydney,Australia
446,How can I make a 4-day itinerary for Rome?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Rome,Italy
447,What is the best transport option in Sydney?,"Compare train options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Sydney,Australia
448,How can I make a 4-day itinerary for Chennai?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Chennai,India
449,What food should I try in Singapore?,"Try well-reviewed local dishes and regional specialties in Singapore. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Singapore,Singapore
450,How can I make a 3-day itinerary for Varanasi?,"Group attractions geographically, assign realistic travel time, leave breaks, and prioritize the user's top interests. Keep one flexible period in the itinerary for delays or spontaneous activities.",travel_planning_budget,Varanasi,India
451,How much should I budget for Kolkata for 3 days as a business traveler?,"Estimate the trip by adding transport, accommodation, food, local travel, attractions, and a 10–15% contingency. For Kolkata, the exact amount depends on season, hotel class, group size, and activities.",travel_planning_budget,Kolkata,India
452,What is the best transport option in Tokyo?,"Compare train options based on distance, time, comfort, and price. For short city trips, public transport can reduce costs; for remote attractions, a taxi or car may be more practical.",travel_planning_budget,Tokyo,Japan
453,What food should I try in Vijayawada?,"Try well-reviewed local dishes and regional specialties in Vijayawada. For food planning, balance inexpensive local meals with a few special experiences and account for dietary restrictions.",travel_planning_budget,Vijayawada,India
